,half,rep
69,"['sub-CC00534XX15', 'ses-155100']","['sub-CC00438XX18', 'ses-156800']"
70,"['sub-CC00231XX09', 'ses-77701']","['sub-CC00578AN18', 'ses-164900']"
71,"['sub-CC00300XX03', 'ses-96000']","['sub-CC00514XX11', 'ses-151400']"
72,"['sub-CC00685XX18', 'ses-226100']","['sub-CC00458XX13', 'ses-138900']"
73,"['sub-CC00703XX10', 'ses-206101']","['sub-CC00456XX11', 'ses-138000']"
74,"['sub-CC00180XX08', 'ses-59500']","['sub-CC00466AN13', 'ses-138400']"
75,"['sub-CC00788XX22', 'ses-243000']","['sub-CC00513XX10', 'ses-150000']"
76,"['sub-CC00792XX18', 'ses-1800']","['sub-CC00516XX13', 'ses-152902']"
77,"['sub-CC00389XX19', 'ses-133800']","['sub-CC00500XX05', 'ses-145900']"
78,"['sub-CC00518XX15', 'ses-166600']","['sub-CC00532XX13', 'ses-154200']"
79,"['sub-CC00338BN17', 'ses-107600']","['sub-CC00492BN15', 'ses-140800']"
80,"['sub-CC00188XX16', 'ses-61800']","['sub-CC00489XX20', 'ses-138800']"
81,"['sub-CC00347XX18', 'ses-109600']","['sub-CC00600XX06', 'ses-175800']"
82,"['sub-CC00335XX14', 'ses-106300']","['sub-CC00525XX14', 'ses-150600']"
83,"['sub-CC00216AN10', 'ses-73100']","['sub-CC00502XX07', 'ses-146700']"
84,"['sub-CC00489XX20', 'ses-142900']","['sub-CC00570XX10', 'ses-158900']"
85,"['sub-CC00298XX19', 'ses-94700']","['sub-CC00620XX10', 'ses-210900']"
86,"['sub-CC00686XX19', 'ses-198800']","['sub-CC00621XX11', 'ses-177900']"
87,"['sub-CC00480XX11', 'ses-141609']","['sub-CC00672AN13', 'ses-197601']"
88,"['sub-CC00486XX17', 'ses-144300']","['sub-CC00672AN13', 'ses-214900']"
89,"['sub-CC00187XX15', 'ses-61500']","['sub-CC00672BN13', 'ses-214800']"
90,"['sub-CC00467XX14', 'ses-139000']","['sub-CC00689XX22', 'ses-207400']"
91,"['sub-CC00705XX12', 'ses-226000']","['sub-CC00712XX11', 'ses-221400']"
92,"['sub-CC00196XX16', 'ses-66100']","['sub-CC00647XX21', 'ses-190801']"
93,"['sub-CC00446XX18', 'ses-135200']","['sub-CC00648XX22', 'ses-191100']"
94,"['sub-CC00284AN13', 'ses-90701']","['sub-CC00607XX13', 'ses-179300']"
95,"['sub-CC00576XX16', 'ses-178200']","['sub-CC00719XX18', 'ses-210600']"
96,"['sub-CC00395XX17', 'ses-129500']","['sub-CC00584XX16', 'ses-178800']"
97,"['sub-CC00582XX14', 'ses-178300']","['sub-CC00627XX17', 'ses-180600']"
98,"['sub-CC00293AN14', 'ses-97401']","['sub-CC00492AN15', 'ses-140900']"
99,"['sub-CC00518XX15', 'ses-145700']","['sub-CC00563XX11', 'ses-153900']"
100,"['sub-CC00433XX13', 'ses-132000']","['sub-CC00628XX18', 'ses-181800']"
101,"['sub-CC00593XX17', 'ses-189401']","['sub-CC00628XX18', 'ses-193500']"
102,"['sub-CC00244XX14', 'ses-81200']","['sub-CC00723XX14', 'ses-224100']"
103,"['sub-CC00154XX06', 'ses-50700']","['sub-CC00838XX22', 'ses-21910']"
104,"['sub-CC00622XX12', 'ses-185600']","['sub-CC00695XX20', 'ses-202600']"
105,"['sub-CC00176XX12', 'ses-57600']","['sub-CC00815XX15', 'ses-4120']"
106,"['sub-CC00238AN16', 'ses-80300']","['sub-CC00597XX21', 'ses-190200']"
